trade_id,asset,group,direction,entry_ts,exit_ts,entry_price,exit_price,best_tf,best_period,confidence,pvt_r,leverage,position_usd,exit_reason,bars_held,duration_hours,pnl_pct,pnl_usd,peak_r
215,AR,B,SHORT,2025-11-10 22:05:00+00:00,2025-11-11 08:05:00+00:00,5.564,5.141,5m,20,0.9336645501756257,0.9192546623072391,1,600.0,TREND_EXHAUSTION,120,10.0,7.5224,45.13,0.9696
221,BCH,A,LONG,2025-11-11 01:50:00+00:00,2025-11-11 08:10:00+00:00,520.8,512.67,5m,54,0.9565585880572856,0.9431412726398692,1,700.0000000000001,HARD_SL_HIT,76,6.33,-1.6411,-11.49,0.9566
237,FET,B,SHORT,2025-11-11 08:15:00+00:00,2025-11-11 08:20:00+00:00,0.3593,0.3647,5m,22,0.9111843087289307,0.9060107686634509,1,600.0,HARD_SL_HIT,1,0.08,-1.5829,-9.5,0.9112
238,FIL,B,SHORT,2025-11-11 08:25:00+00:00,2025-11-11 10:25:00+00:00,2.352,2.39,5m,24,0.9330858761697065,0.9260765395920193,1,600.0,HARD_SL_HIT,24,2.0,-1.6956,-10.17,0.9331
235,STX,B,SHORT,2025-11-11 07:00:00+00:00,2025-11-11 11:05:00+00:00,0.4263,0.4342,5m,50,0.9182932391952952,0.9186084187154206,1,600.0,HARD_SL_HIT,49,4.08,-1.9332,-11.6,0.9183
236,RENDER,B,SHORT,2025-11-11 08:10:00+00:00,2025-11-11 11:10:00+00:00,2.398,2.436,5m,20,0.9345597850897751,0.8705851400842289,1,600.0,HARD_SL_HIT,36,3.0,-1.6647,-9.99,0.9346
233,ICP,B,SHORT,2025-11-11 06:55:00+00:00,2025-11-11 13:05:00+00:00,6.48,6.66,5m,42,0.9134074440528864,0.9259245230093774,1,450.0,HARD_SL_HIT,74,6.17,-2.8578,-12.86,0.9134
240,SOL,A,SHORT,2025-11-11 11:10:00+00:00,2025-11-11 19:15:00+00:00,164.4,158.25,5m,105,0.8780444687200317,0.8685688814199043,1,700.0000000000001,TREND_EXHAUSTION,97,8.08,3.6609,25.63,0.964
192,DOT,A,LONG,2025-11-09 12:00:00+00:00,2025-11-11 20:00:00+00:00,3.144,3.053,4h,29,0.8990760004646805,0.8819226783359512,5,3500.0000000000005,HARD_SL_HIT,14,56.0,-2.9744,-104.1,0.8991
231,BNB,A,SHORT,2025-11-11 06:30:00+00:00,2025-11-11 23:10:00+00:00,983.56,962.77,5m,43,0.944502305917058,0.9178530448045142,1,700.0000000000001,TIME_BARRIER,200,16.67,2.0338,14.24,0.9445
232,INJ,B,SHORT,2025-11-11 06:35:00+00:00,2025-11-11 23:15:00+00:00,7.875,7.633,5m,43,0.9400452717515544,0.931631429761153,1,600.0,TIME_BARRIER,200,16.67,2.993,17.96,0.9434
234,ADA,A,SHORT,2025-11-11 07:00:00+00:00,2025-11-11 23:40:00+00:00,0.5831,0.5577,5m,53,0.9585335129932359,0.9555238086128123,1,700.0000000000001,TIME_BARRIER,200,16.67,4.276,29.93,0.9638
239,BTC,A,SHORT,2025-11-11 10:30:00+00:00,2025-11-12 03:10:00+00:00,105075.9,103154.0,5m,111,0.8502146649376613,0.8684308103845865,1,700.0000000000001,TIME_BARRIER,200,16.67,1.7491,12.24,0.9556
241,XRP,A,SHORT,2025-11-11 11:15:00+00:00,2025-11-12 03:55:00+00:00,2.4653,2.3978,5m,125,0.903102035159177,0.9063778525220137,1,700.0000000000001,TIME_BARRIER,200,16.67,2.658,18.61,0.9464
242,LTC,A,SHORT,2025-11-11 13:10:00+00:00,2025-11-12 05:50:00+00:00,102.1,99.7,5m,145,0.8962201465212708,0.9101407892127773,1,700.0000000000001,TIME_BARRIER,200,16.67,2.2706,15.89,0.9511
246,STX,B,SHORT,2025-11-11 23:20:00+00:00,2025-11-12 06:15:00+00:00,0.4154,0.423,5m,81,0.9305192234147212,0.8860438668174833,1,600.0,HARD_SL_HIT,83,6.92,-1.9096,-11.46,0.9305
247,FET,B,SHORT,2025-11-11 23:45:00+00:00,2025-11-12 06:15:00+00:00,0.3312,0.3363,5m,106,0.9518954745812647,0.9516659600239938,1,600.0,HARD_SL_HIT,78,6.5,-1.6199,-9.72,0.9519
