trade_id,asset,group,direction,entry_ts,exit_ts,entry_price,exit_price,best_tf,best_period,confidence,pvt_r,leverage,position_usd,hard_sl,exit_reason,bars_held,duration_hours,pnl_pct,pnl_usd,peak_r,entry_commission,exit_commission,total_commission
19,XRP,A,SHORT,2026-03-27T01:02:01.805393+00:00,2026-03-27T02:30:15.521707+00:00,1.3617,1.36374255,30m,77,0.9479940957743168,0.9141726966541539,3,193.2532347858,1.3797374999999998,ADAPTIVE_TRAIL_HIT,3,1.47,-0.15,-0.29,0.948,0.0,0.0,0.0
15,ATOM,B,SHORT,2026-03-26T15:01:59.135204+00:00,2026-03-27T07:30:15.347726+00:00,1.717,1.7195755000000001,30m,59,0.9725331458359151,0.9382075609659749,5,276.076049694,1.7337857142857145,ADAPTIVE_TRAIL_HIT,33,16.47,-0.15,-0.41,0.9772,0.0,0.0,0.0
24,STX,B,SHORT,2026-03-27T16:02:00.633349+00:00,2026-03-27T16:15:15.504057+00:00,0.2236,0.2239354,5m,141,0.9398702143749641,0.8926997478060922,3,165.6456298164,0.2253857142857143,ADAPTIVE_TRAIL_HIT,3,0.22,-0.15,-0.25,0.9399,0.0,0.0,0.0
27,STX,B,SHORT,2026-03-27T17:02:02.052720+00:00,2026-03-27T17:10:01.985325+00:00,0.2241,0.22545714285714283,5m,180,0.9377758795097053,0.8840517376120018,3,165.6456298164,0.22545714285714283,HARD_SL_HIT,1,0.13,-0.6056,-1.0,0.9378,0.0,0.0,0.0
23,ICP,B,SHORT,2026-03-27T16:02:00.633349+00:00,2026-03-27T17:10:18.120145+00:00,2.216,2.2193240000000003,5m,133,0.9460577520186891,0.8914412907778283,3,124.2342223623,2.2377857142857143,ADAPTIVE_TRAIL_HIT,14,1.14,-0.15,-0.19,0.9478,0.0,0.0,0.0
25,OP,C,SHORT,2026-03-27T16:02:00.633349+00:00,2026-03-27T17:10:18.391361+00:00,0.1039,0.10405585,5m,110,0.9290247039505594,0.9054940699235929,3,193.2532347858,0.10559464285714286,ADAPTIVE_TRAIL_HIT,14,1.14,-0.15,-0.29,0.9336,0.0,0.0,0.0
20,BTC,A,SHORT,2026-03-27T16:02:00.633349+00:00,2026-03-27T17:15:15.183998+00:00,66092.0,66191.138,5m,131,0.9517418533670235,0.9338877218290674,5,322.088724643,66750.51035714285,ADAPTIVE_TRAIL_HIT,15,1.22,-0.15,-0.48,0.9519,0.0,0.0,0.0
26,BNB,A,SHORT,2026-03-27T17:02:02.052720+00:00,2026-03-27T18:00:15.479265+00:00,609.37,607.51,30m,112,0.9329500138089665,0.761316122096295,3,193.2532347858,617.9708928571429,P_FLOOR_EXIT,2,0.97,0.3052,0.59,0.9372,0.0,0.0,0.0
21,XRP,A,SHORT,2026-03-27T16:02:00.633349+00:00,2026-03-27T19:30:18.459090+00:00,1.336,1.3282,30m,116,0.9510881361962222,0.9525349043368166,5,322.088724643,1.3593535714285714,P_FLOOR_EXIT,7,3.47,0.5838,1.88,0.9578,0.0,0.0,0.0
22,ATOM,B,SHORT,2026-03-27T16:02:00.633349+00:00,2026-03-27T21:00:16.541955+00:00,1.672,1.673,30m,129,0.9355259963314269,0.8909650127337599,3,165.6456298164,1.6995,P_FLOOR_EXIT,10,4.97,-0.0598,-0.1,0.9392,0.0,0.0,0.0
28,SEI,C,SHORT,2026-03-27T17:02:02.052720+00:00,2026-03-27T22:00:17.656079+00:00,0.0554,0.0548,30m,35,0.9656222821639527,0.9266963587340566,5,322.088724643,0.05658392857142857,P_FLOOR_EXIT,10,4.97,1.083,3.49,0.9742,0.0,0.0,0.0
30,ICP,B,SHORT,2026-03-27T18:02:02.849445+00:00,2026-03-28T08:10:03.601002+00:00,2.217,2.252,5m,193,0.9500571450180688,0.9013224079650181,1,41.4114074541,2.2502549999999997,HARD_SL_1.5%,169,14.13,-1.5787,-0.65,0.9501,0.0,0.0,0.0
