trade_id,asset,group,direction,entry_ts,exit_ts,entry_price,exit_price,best_tf,best_period,confidence,pvt_r,leverage,position_usd,hard_sl,exit_reason,bars_held,duration_hours,pnl_pct,pnl_usd,peak_r
11,SOL,A,SHORT,2025-11-03 06:00:00+00:00,2025-11-03 06:05:00+00:00,176.99,175.39765036398512,5m,72,0.9631517329811592,0.9360654781769432,5,3500.0000000000005,178.91910714285717,ADAPTIVE_TRAIL_HIT,1,0.08,4.4984,153.24,0.9606
12,ADA,A,SHORT,2025-11-03 06:00:00+00:00,2025-11-03 06:05:00+00:00,0.5738,0.5684543021807327,5m,77,0.9581617077577874,0.9260623060179318,5,3500.0000000000005,0.579975,ADAPTIVE_TRAIL_HIT,1,0.08,4.6582,158.84,0.9552
13,INJ,B,SHORT,2025-11-03 06:00:00+00:00,2025-11-03 06:05:00+00:00,7.265,7.21682103627081,5m,82,0.9427251020957191,0.9183513985115465,3,1800.0,7.351428571428571,ADAPTIVE_TRAIL_HIT,1,0.08,1.9895,33.65,0.9417
14,THETA,B,SHORT,2025-11-03 06:00:00+00:00,2025-11-03 06:05:00+00:00,0.4541,0.44937310061842944,5m,77,0.9719695342118364,0.9204167999296827,5,3000.0,0.45929642857142855,ADAPTIVE_TRAIL_HIT,1,0.08,5.2047,152.54,0.9698
15,PEPE,C,SHORT,2025-11-03 06:00:00+00:00,2025-11-03 06:05:00+00:00,6.2e-06,6.138890524633801e-06,5m,81,0.9652308227918966,0.9172927194902124,5,2625.0000000000005,6.299821428571428e-06,ADAPTIVE_TRAIL_HIT,1,0.08,4.9282,124.64,0.9637
16,DOGE,C,SHORT,2025-11-03 06:00:00+00:00,2025-11-03 06:05:00+00:00,0.17392,0.17294412931687916,5m,77,0.9578564069120499,0.9083964849473896,5,3500.0000000000005,0.17573767857142858,ADAPTIVE_TRAIL_HIT,1,0.08,2.8055,91.89,0.9579
17,SOL,A,SHORT,2025-11-03 07:00:00+00:00,2025-11-03 07:05:00+00:00,175.41,174.13052227194183,5m,86,0.9649692694137288,0.9378166053438709,5,3500.0000000000005,177.60375,ADAPTIVE_TRAIL_HIT,1,0.08,3.6471,123.45,0.9639
18,ADA,A,SHORT,2025-11-03 07:00:00+00:00,2025-11-03 07:05:00+00:00,0.5707,0.5661991285054976,5m,93,0.9516963307255976,0.9244424290802422,5,3500.0000000000005,0.5789410714285715,ADAPTIVE_TRAIL_HIT,1,0.08,3.9433,133.82,0.9502
19,RENDER,B,SHORT,2025-11-03 07:00:00+00:00,2025-11-03 07:05:00+00:00,2.095,2.0821000308440945,5m,95,0.952384221355694,0.9160072868421488,5,3000.0,2.124821428571429,ADAPTIVE_TRAIL_HIT,1,0.08,3.0788,88.76,0.9513
20,THETA,B,SHORT,2025-11-03 07:00:00+00:00,2025-11-03 07:05:00+00:00,0.4505,0.4456366650368557,5m,93,0.9702966036390255,0.9297261703499622,5,3000.0,0.4572857142857143,ADAPTIVE_TRAIL_HIT,1,0.08,5.3977,158.33,0.9689
21,PEPE,C,SHORT,2025-11-03 07:00:00+00:00,2025-11-03 07:05:00+00:00,6.14e-06,6.091470596892497e-06,5m,94,0.9663603317858221,0.9323223818458858,5,2625.0000000000005,6.258392857142856e-06,ADAPTIVE_TRAIL_HIT,1,0.08,3.9519,99.01,0.9649
22,DOGE,C,SHORT,2025-11-03 07:00:00+00:00,2025-11-03 07:05:00+00:00,0.17257,0.17161439166082182,5m,89,0.9626256162310307,0.9269303610546843,5,3500.0000000000005,0.17527910714285713,ADAPTIVE_TRAIL_HIT,1,0.08,2.7688,90.61,0.9616
23,SOL,A,SHORT,2025-11-03 08:00:00+00:00,2025-11-03 08:05:00+00:00,176.22,173.81659481694604,5m,101,0.94832522599131,0.9261867655564182,3,2100.0000000000005,178.30464285714285,ADAPTIVE_TRAIL_HIT,1,0.08,4.0916,83.4,0.9453
24,BNB,A,SHORT,2025-11-03 08:00:00+00:00,2025-11-03 08:30:00+00:00,1024.24,1020.817368387455,30m,20,0.9663743686530711,0.9556778629461126,5,3500.0000000000005,1053.4250000000002,ADAPTIVE_TRAIL_HIT,1,0.5,1.6708,54.28,0.9753
25,LINK,A,SHORT,2025-11-03 08:00:00+00:00,2025-11-03 08:05:00+00:00,16.13,15.876054818548756,5m,106,0.9511382184438573,0.9525052847620561,5,3500.0000000000005,16.372821428571427,ADAPTIVE_TRAIL_HIT,1,0.08,7.8718,271.31,0.9477
26,DOT,A,SHORT,2025-11-03 08:00:00+00:00,2025-11-03 08:05:00+00:00,2.766,2.7257510910061775,5m,106,0.945050845900167,0.9472566103696884,3,2100.0000000000005,2.813589285714286,ADAPTIVE_TRAIL_HIT,1,0.08,4.3654,89.15,0.9408
27,INJ,B,SHORT,2025-11-03 08:00:00+00:00,2025-11-03 08:05:00+00:00,7.231,7.127691062275729,5m,108,0.9457720268127476,0.9527860327895997,3,1800.0,7.337785714285714,ADAPTIVE_TRAIL_HIT,1,0.08,4.2861,74.99,0.9419
28,THETA,B,SHORT,2025-11-03 08:00:00+00:00,2025-11-03 08:05:00+00:00,0.4559,0.4456361600960089,5m,108,0.9461805913274527,0.9229540336811249,3,1800.0,0.46257857142857145,ADAPTIVE_TRAIL_HIT,1,0.08,6.754,119.41,0.9407
29,PEPE,C,SHORT,2025-11-03 08:00:00+00:00,2025-11-03 08:05:00+00:00,6.18e-06,6.0770902054055074e-06,5m,107,0.9506794285261904,0.9304226563135473,5,2625.0000000000005,6.300714285714286e-06,ADAPTIVE_TRAIL_HIT,1,0.08,8.326,213.83,0.9464
30,SUI,C,SHORT,2025-11-03 08:00:00+00:00,2025-11-03 08:05:00+00:00,2.1958,2.1582620256244427,5m,107,0.9533015995107594,0.9616127116570372,5,3500.0000000000005,2.230760714285714,ADAPTIVE_TRAIL_HIT,1,0.08,8.5477,294.97,0.9473
31,SOL,A,SHORT,2025-11-03 09:00:00+00:00,2025-11-03 09:30:00+00:00,175.49,173.4882625017214,30m,20,0.9424948346099183,0.9065794868766459,3,2100.0000000000005,181.73464285714286,ADAPTIVE_TRAIL_HIT,1,0.5,3.422,69.34,0.9222
32,BNB,A,SHORT,2025-11-03 09:00:00+00:00,2025-11-03 09:30:00+00:00,1024.59,1016.5274676148347,30m,20,0.9753480730046395,0.9642575163462554,5,3500.0000000000005,1055.5067857142858,ADAPTIVE_TRAIL_HIT,1,0.5,3.9345,133.51,0.9691
33,LINK,A,SHORT,2025-11-03 09:00:00+00:00,2025-11-03 09:30:00+00:00,16.067,15.838564895454477,30m,20,0.943628113962886,0.9374594400879801,3,2100.0000000000005,16.73905357142857,ADAPTIVE_TRAIL_HIT,1,0.5,4.2653,87.05,0.9216
34,DOT,A,SHORT,2025-11-03 09:00:00+00:00,2025-11-03 09:05:00+00:00,2.789,2.723266433414144,5m,119,0.9299274866833998,0.9421522635477401,3,2100.0000000000005,2.827071428571429,ADAPTIVE_TRAIL_HIT,1,0.08,7.0707,145.96,0.9193
35,INJ,B,SHORT,2025-11-03 09:00:00+00:00,2025-11-03 09:05:00+00:00,7.294,7.119620015670058,5m,120,0.9324651395315778,0.9586669547740687,3,1800.0,7.385607142857142,ADAPTIVE_TRAIL_HIT,1,0.08,7.1722,126.94,0.9198
36,THETA,B,SHORT,2025-11-03 09:00:00+00:00,2025-11-03 09:30:00+00:00,0.4573,0.44688659531611935,30m,22,0.9229807377657125,0.9196414454069042,3,1800.0,0.4739785714285714,ADAPTIVE_TRAIL_HIT,1,0.5,6.8314,120.81,0.8958
37,PEPE,C,SHORT,2025-11-03 09:00:00+00:00,2025-11-03 09:30:00+00:00,6.17e-06,6.080141157241841e-06,30m,20,0.9386221509779539,0.9320596982419336,3,1575.0000000000005,6.432321428571429e-06,ADAPTIVE_TRAIL_HIT,1,0.5,4.3691,65.98,0.9045
38,SUI,C,SHORT,2025-11-03 09:00:00+00:00,2025-11-03 09:05:00+00:00,2.2137,2.1596094868651186,5m,120,0.9270632390530563,0.956212037831513,3,2100.0000000000005,2.2449232142857136,ADAPTIVE_TRAIL_HIT,1,0.08,7.3303,151.42,0.9144
39,SOL,A,SHORT,2025-11-03 10:00:00+00:00,2025-11-03 10:30:00+00:00,175.7,173.12399963915348,30m,22,0.937736949989662,0.8955589936188406,3,2100.0000000000005,181.95392857142855,ADAPTIVE_TRAIL_HIT,1,0.5,4.3984,89.85,0.9133
