trade_id,asset,group,direction,entry_ts,exit_ts,entry_price,exit_price,best_tf,best_period,confidence,pvt_r,leverage,position_usd,hard_sl,exit_reason,bars_held,duration_hours,pnl_pct,pnl_usd,peak_r
11,RENDER,B,SHORT,2025-11-03 04:00:00+00:00,2025-11-03 04:35:00+00:00,2.108,2.110681686117126,5m,51,0.9710631120926673,0.84780040686155,5,3000.0,2.148892857142857,ADAPTIVE_TRAIL_HIT,7,0.58,-0.6361,-19.08,0.9688
12,INJ,B,SHORT,2025-11-03 04:00:00+00:00,2025-11-03 04:25:00+00:00,7.228,7.267416169205755,5m,50,0.9715492843734405,0.8417174319537906,5,3000.0,7.371035714285714,ADAPTIVE_TRAIL_HIT,5,0.42,-2.7266,-81.8,0.9678
13,THETA,B,SHORT,2025-11-03 04:00:00+00:00,2025-11-03 04:45:00+00:00,0.4561,0.4541123638273635,5m,51,0.9789226586496543,0.8005855807666253,5,3000.0,0.46517142857142857,ADAPTIVE_TRAIL_HIT,9,0.75,2.1789,65.37,0.9767
14,PEPE,C,SHORT,2025-11-03 04:00:00+00:00,2025-11-03 04:10:00+00:00,6.21e-06,6.2311152971796475e-06,5m,51,0.9816361809702303,0.8368782827642064,5,2625.0000000000005,6.3516071428571425e-06,ADAPTIVE_TRAIL_HIT,2,0.17,-1.7001,-44.63,0.9829
15,SOL,A,SHORT,2025-11-03 05:00:00+00:00,2025-11-03 05:05:00+00:00,178.05,176.5316459393254,5m,59,0.9718005601643641,0.9249504311515856,5,3500.0000000000005,180.71500000000003,ADAPTIVE_TRAIL_HIT,1,0.08,4.2638,149.23,0.9665
16,ADA,A,SHORT,2025-11-03 05:00:00+00:00,2025-11-03 05:05:00+00:00,0.5786,0.5706457595481076,5m,62,0.9808701236363165,0.9129199644780885,5,3500.0000000000005,0.5872589285714286,ADAPTIVE_TRAIL_HIT,1,0.08,6.8737,240.58,0.9701
17,RENDER,B,SHORT,2025-11-03 05:00:00+00:00,2025-11-03 05:05:00+00:00,2.136,2.1032325603686313,5m,63,0.9752318534504797,0.9085769302042587,5,3000.0,2.1677857142857144,ADAPTIVE_TRAIL_HIT,1,0.08,7.6703,230.11,0.9644
18,INJ,B,SHORT,2025-11-03 05:00:00+00:00,2025-11-03 05:05:00+00:00,7.364,7.231744392562607,5m,63,0.9713726618872998,0.9004961217866434,5,3000.0,7.466678571428572,ADAPTIVE_TRAIL_HIT,1,0.08,8.9799,269.4,0.9557
19,THETA,B,SHORT,2025-11-03 05:00:00+00:00,2025-11-03 05:05:00+00:00,0.4602,0.4534676501392826,5m,62,0.9808261841290578,0.8940877365575438,5,3000.0,0.46646785714285716,ADAPTIVE_TRAIL_HIT,1,0.08,7.3146,219.44,0.9739
20,PEPE,C,SHORT,2025-11-03 05:00:00+00:00,2025-11-03 05:05:00+00:00,6.26e-06,6.170288740979293e-06,5m,63,0.9834419167306477,0.9116871007766204,5,2625.0000000000005,6.373750000000001e-06,ADAPTIVE_TRAIL_HIT,1,0.08,7.1654,188.09,0.9735
21,DOGE,C,SHORT,2025-11-03 05:00:00+00:00,2025-11-03 05:05:00+00:00,0.17607,0.17397834751990449,5m,62,0.969548087502909,0.8818899670804701,5,3500.0000000000005,0.1787001785714286,ADAPTIVE_TRAIL_HIT,1,0.08,5.9398,207.89,0.9616
