trade_id,asset,group,direction,entry_ts,exit_ts,entry_price,exit_price,best_tf,best_period,confidence,pvt_r,leverage,position_usd,hard_sl,exit_reason,bars_held,duration_hours,pnl_pct,pnl_usd,peak_r
36,SHIB,C,LONG,2026-03-16 11:00:00+00:00,2026-03-16 11:30:00+00:00,6.12e-06,6.320323025186733e-06,30m,34,0.9529408663760005,0.873399423152207,5,2625.0000000000005,5.853035714285714e-06,ADAPTIVE_TRAIL_HIT,1,0.5,16.3663,424.89,0.9047
37,XRP,A,LONG,2026-03-16 16:00:00+00:00,2026-03-17 03:00:00+00:00,1.508,1.5406536958507386,1h,52,0.9357738153352666,0.8696535436583438,3,2100.0000000000005,1.4497089285714286,ADAPTIVE_TRAIL_HIT,11,11.0,6.4961,133.9,0.9457
38,ETH,A,LONG,2026-03-16 20:00:00+00:00,2026-03-16 20:30:00+00:00,2330.16,2346.3075617011727,30m,62,0.9653578023137841,0.9654857561446374,5,3500.0000000000005,2251.923214285714,ADAPTIVE_TRAIL_HIT,1,0.5,3.4649,117.07,0.9656
39,SOL,A,LONG,2026-03-16 20:00:00+00:00,2026-03-16 20:05:00+00:00,95.2,95.2817749590221,5m,50,0.9521087211913876,0.9491164499651908,5,3500.0000000000005,93.99285714285715,ADAPTIVE_TRAIL_HIT,1,0.08,0.4295,10.83,0.9523
40,LINK,A,LONG,2026-03-16 20:00:00+00:00,2026-03-16 20:05:00+00:00,9.927,9.945744071508107,5m,66,0.9637587319801748,0.9586212474132295,5,3500.0000000000005,9.813714285714285,ADAPTIVE_TRAIL_HIT,1,0.08,0.9441,28.84,0.9621
41,NEAR,B,LONG,2026-03-16 20:00:00+00:00,2026-03-16 20:30:00+00:00,1.457,1.4560486297984214,30m,23,0.9504469432911821,0.9344792054400982,5,3000.0,1.411107142857143,ADAPTIVE_TRAIL_HIT,1,0.5,-0.3265,-13.39,0.9528
42,INJ,B,LONG,2026-03-16 20:00:00+00:00,2026-03-17 01:00:00+00:00,3.279,3.302326810348273,1h,31,0.9544764014337613,0.93778263269835,5,3000.0,3.188642857142857,ADAPTIVE_TRAIL_HIT,5,5.0,3.557,103.11,0.9564
43,ATOM,B,LONG,2026-03-16 20:00:00+00:00,2026-03-16 20:05:00+00:00,1.982,1.990182922106873,5m,53,0.9740774048757138,0.8615785412626927,5,3000.0,1.9605714285714286,ADAPTIVE_TRAIL_HIT,1,0.08,2.0643,58.33,0.9711
44,ETH,A,LONG,2026-03-16 21:00:00+00:00,2026-03-16 21:30:00+00:00,2346.04,2354.7846193493388,30m,64,0.9674124052625436,0.9670150384180974,5,3500.0000000000005,2271.610357142857,ADAPTIVE_TRAIL_HIT,1,0.5,1.8637,61.03,0.9682
45,SOL,A,LONG,2026-03-16 21:00:00+00:00,2026-03-16 21:05:00+00:00,95.86,95.81890156546973,5m,62,0.9705356913758637,0.967196117774665,5,3500.0000000000005,94.93839285714286,ADAPTIVE_TRAIL_HIT,1,0.08,-0.2144,-11.7,0.9704
46,LINK,A,LONG,2026-03-16 21:00:00+00:00,2026-03-16 21:05:00+00:00,9.971,9.971242612832407,5m,79,0.9583280667499849,0.943043292171231,5,3500.0000000000005,9.892535714285714,ADAPTIVE_TRAIL_HIT,1,0.08,0.0122,-3.77,0.9566
47,NEAR,B,LONG,2026-03-16 21:00:00+00:00,2026-03-16 23:30:00+00:00,1.474,1.4904356057595531,30m,25,0.9615148854153421,0.9440753823126459,5,3000.0,1.431142857142857,ADAPTIVE_TRAIL_HIT,5,2.5,5.5752,163.66,0.9627
48,ICP,B,LONG,2026-03-16 21:00:00+00:00,2026-03-16 21:15:00+00:00,2.782,2.7654853167806595,5m,79,0.9289353808947827,0.9256231549093364,3,1350.0,2.75325,ADAPTIVE_TRAIL_HIT,3,0.25,-1.7809,-25.66,0.9339
49,ETH,A,LONG,2026-03-16 22:00:00+00:00,2026-03-16 22:30:00+00:00,2358.29,2362.8162466155777,30m,66,0.9698595635480478,0.9683124961592774,5,3500.0000000000005,2287.6628571428573,ADAPTIVE_TRAIL_HIT,1,0.5,0.9596,29.39,0.9703
50,SOL,A,LONG,2026-03-16 22:00:00+00:00,2026-03-16 22:20:00+00:00,96.71,96.63351146447778,5m,74,0.9790029992925013,0.9704951432495048,5,3500.0000000000005,95.37982142857142,ADAPTIVE_TRAIL_HIT,4,0.33,-0.3955,-18.04,0.9727
51,LINK,A,LONG,2026-03-16 22:00:00+00:00,2026-03-16 22:20:00+00:00,10.02,10.017098209409811,5m,85,0.9636498846625356,0.9415992537889125,5,3500.0000000000005,9.89325,ADAPTIVE_TRAIL_HIT,4,0.33,-0.1448,-9.27,0.9623
52,ATOM,B,LONG,2026-03-16 22:00:00+00:00,2026-03-16 23:00:00+00:00,1.986,1.9694565823816146,1h,30,0.9442510913426526,0.9095153778801668,3,1800.0,1.9340357142857143,ADAPTIVE_TRAIL_HIT,1,1.0,-2.499,-47.14,0.9535
