10:22:18 [INFO] __main__: Loading data for 33 assets...
10:22:19 [INFO] backtest.data_loader: Loaded 132 asset/TF combinations (33 assets), 13351041 total bars (640.8 MB est.)
10:22:19 [INFO] __main__: Pre-computing scan features for all 33 assets (one-time)...
10:22:19 [INFO] neo_flow.precompute_features: Pre-computing features for 28185 1h timestamps across 33 assets...
/home/yagokhan/VaranusNeoFlow/Varanus_Extended_v1/neo_flow/precompute_features.py:229: RuntimeWarning: invalid value encountered in divide
  pr = np.where(d > 1e-15, sum_dyx / d, 0.0)
10:30:32 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4323 scans, 1124 trades
10:30:33 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4338 scans, 1167 trades
10:30:33 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4323 scans, 1124 trades
10:30:34 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4409 scans, 595 trades
10:30:35 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4320 scans, 1108 trades
10:30:36 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4258 scans, 819 trades
10:30:36 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4338 scans, 1167 trades
10:30:37 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4338 scans, 1167 trades
10:30:38 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4333 scans, 1158 trades
10:30:39 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4323 scans, 1124 trades
10:30:40 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4366 scans, 1093 trades
10:30:40 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4361 scans, 1072 trades
10:30:41 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4353 scans, 1083 trades
10:30:42 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4247 scans, 918 trades
10:30:43 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4406 scans, 733 trades
